"row";"column";"SD1_sampleC_S_energy_2503.5_eV.tif_D1_sampleC.TIFF_Array_53";"CdSO4-fit";"CdS-fit"
4;110;12709.9;0;1
4;111;13149.2;0;1
4;112;15921.7;0;1
4;113;16764.9;0.00651449;0.993486
4;114;15412.3;0.0505475;0.949452
4;115;11996.4;0.0368114;0.963189
4;116;8363.42;0;1
4;117;7114.59;0.031113;0.968887
4;118;6438.97;0;1
4;119;6813.16;0;1
4;120;7491.43;0.0427484;0.957252
4;121;8215.02;0.0407046;0.959295
4;122;8409.96;0.0440811;0.955919
4;123;8360.1;0.023355;0.976645
4;124;8253.59;0;1
4;125;8462.42;0;1
4;126;9218.38;0;1
4;127;9763.07;0;1
4;128;10813.8;0;1
4;129;10712.8;0;1
4;130;10224.7;0;1
4;131;10430.1;0.0248939;0.975106
4;132;11315.2;0.0152589;0.984741
4;133;12012.3;0.0122111;0.987789
4;134;12995.7;0;1
4;135;13696.9;0;1
4;136;13705.3;0;1
4;137;13107.5;0;1
4;138;12759.8;0;1
4;139;12060.3;0;1
4;140;10848.2;0;1
4;141;10247.8;0;1
4;142;9679.11;0;1
4;143;8864.99;5.55e-17;1
4;144;8175.17;5.55e-17;1
4;145;8434.05;0;1
4;146;8896.58;0;1
4;147;9183.25;5.55e-17;1
4;148;9945.91;5.55e-17;1
4;149;11016;0;1
4;150;11520.5;0;1
4;151;11235.7;0.0157613;0.984239
4;152;10071.6;0.0400324;0.959968
4;153;9331.27;0;1
4;154;9884.96;0.00983272;0.990167
4;155;12619.7;0;1
5;0;1245.5;0;0
5;1;1335.86;0;0
5;2;1429.98;0;0
5;3;2188.91;0;0
5;4;4622.63;0.193192;0.806808
5;5;7350.3;0.142295;0.857705
5;6;7853.06;0.0692639;0.930736
5;7;7317.46;0.0510797;0.94892
5;8;6545.62;0.0234209;0.976579
5;9;5977.37;0.025049;0.974951
5;10;6471.52;0.0489099;0.95109
5;11;6621.59;0.0263759;0.973624
5;12;6110.26;0;1
5;13;5198.67;0;1
5;14;4997.31;0;1
5;15;5198.8;0.0100069;0.989993
5;16;5177.86;0;1
5;17;4679.15;0.0251808;0.974819
5;18;3829.57;0.0337986;0.966201
5;19;3376.15;0;1
5;20;3438.41;0;1
5;21;4401.94;0;1
5;22;5073.35;0;1
5;23;4974.12;0.00239112;0.997609
